name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Abelisaurus,Carnivorous,Late Cretaceous 74-70 million years ago,Argentina,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),Comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Aardonyx,Herbivorous,Early Jurassic 199-189 million years ago,South Africa,Sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),Celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html , http://www.rareresource.com/images/aardonyx-dinosaur-1.jpg ,South Africa,-28.8166236,24.991639,Early Jurassic
Achillobator,Carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),Giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Achelousaurus,Herbivorous,Late Cretaceous 83-70 million years ago,USA,Ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),Horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Acrocanthosaurus,Carnivorous,Early Cretaceous 115-105 million years ago,USA,Large Theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),Atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Aegyptosaurus,Herbivorous,Late Cretaceous 98-93 million years ago,Egypt,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),Baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg,مصر,26.2540493,29.2675469,Late Cretaceous
Afrovenator,Carnivorous,Early Cretaceous 132-121 million years ago,Niger,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),Abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg,Niger,17.7356214,9.3238432,Early Cretaceous
Agilisaurus,Herbivorous,Late Jurassic 169-159 million years ago,China,Euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),Louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg,中国,35.000074,104.999927,Late Jurassic
Alamosaurus,Herbivorous,Late Cretaceous 70-65 million years ago,USA,Sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),Sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Albertaceratops,Herbivorous,Late Cretaceous 80-75 million years ago,USA,Ceratopsian,7.0,Dinosauria Ornithischia,Ryan 2007,Nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Albertosaurus,Carnivorous,Late Cretaceous 76-74 million years ago,Canada,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),Libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Alectrosaurus,Carnivorous,Late Cretaceous 90-70 million years ago,Mongolia,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),Olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Alioramus,Carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,Large Theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),Remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Allosaurus,Carnivorous,Late Jurassic 156-144 million years ago,USA,Large Theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),Fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg,United States,39.7837304,-100.445882,Late Jurassic
Alvarezsaurus,Carnivorous,Late Cretaceous 89-85 million years ago,Argentina,Small Theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),Calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Amargasaurus,Herbivorous,Early Cretaceous 132-127 million years ago,Argentina,Sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),Cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg,Argentina,-34.9964963,-64.9672817,Early Cretaceous
Ammosaurus,Herbivorous,Early Jurassic 195-180 million years ago,USA,Sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),Major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg,United States,39.7837304,-100.445882,Early Jurassic
Ampelosaurus,Herbivorous,Late Cretaceous 71-65 million years ago,France,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Le Loeuff (1995),Atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ampelosaurus.jpg,France,46.603354,1.8883335,Late Cretaceous
Amygdalodon,Herbivorous,Mid Jurassic 177-169 million years ago,Argentina,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),Patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amygdalodon.jpg,Argentina,-34.9964963,-64.9672817,Mid Jurassic
Anchiceratops,Herbivorous,Late Cretaceous 74-70 million years ago,Canada,Ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),Ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi2.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Anchisaurus,Herbivorous,Early Jurassic 190 million years ago,USA,Sauropod,2.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1885),Polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi.jpg,United States,39.7837304,-100.445882,Early Jurassic
Ankylosaurus,Herbivorous,Late Cretaceous 74-67 million years ago,USA,Armoured Dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),Magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ankylosaurus.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Anserimimus,Carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,Large Theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),Planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anseri.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Antarctosaurus,Herbivorous,Late Cretaceous 84-65 million years ago,Uruguay,Sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,von Huene (1929),Wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/antarcto.jpg,Uruguay,-32.8755548,-56.0201525,Late Cretaceous
Apatosaurus,Herbivorous,Late Jurassic 154-145 million years ago,USA,Sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),Ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/apatosaurus-art.jpg,United States,39.7837304,-100.445882,Late Jurassic
Aragosaurus,Herbivorous,Early Cretaceous 132-121 million years ago,Spain,Sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Sanz Buscalioni Casanovas and Sanafé (1987),Ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aragosaurus.jpg,España,39.3260685,-4.8379791,Early Cretaceous
Aralosaurus,Herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,Euornithopod,8.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),Tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aralosaurus.jpg,Қазақстан,48.1012954,66.7780818,Late Cretaceous
Archaeoceratops,Herbivorous,Early Cretaceous 121-99 million years ago,China,Ceratopsian,1.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),Oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Archaeoceratops.jpg,中国,35.000074,104.999927,Early Cretaceous
Archaeopteryx,Carnivorous,Late Jurassic 147 million years ago,Germany,Small Theropod,0.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,Mayer (1861),Lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeopteryx.jpg,Deutschland,51.1638175,10.4478313,Late Jurassic
Archaeornithomimus,Carnivorous,Late Cretaceous 95-70 million years ago,Uzbekistan,Small Theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Russell (1972),Asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeorn.jpg,Oʻzbekiston,41.32373,63.9528098,Late Cretaceous
Argentinosaurus,Herbivorous,Late Cretaceous 90 million years ago,Argentina,Sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte and Coria (1993),Huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/argent.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Arrhinoceratops,Herbivorous,Late Cretaceous 72-67 million years ago,Canada,Ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),Brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Arrhinoceratops.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Atlascopcosaurus,Herbivorous,Early Cretaceous 121-97 million years ago,Australia,Euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),Loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Atlascopcosaurus.jpg,Australia,-24.7761086,134.755,Early Cretaceous
Aucasaurus,Carnivorous,Late Cretaceous 84-71 million years ago,Argentina,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),Garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aucasaurus.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Austrosaurus,Herbivorous,Early Cretaceous 112-99 million years ago,Australia,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Longman (1933),Mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Austrosaurus.jpg,Australia,-24.7761086,134.755,Early Cretaceous
Avaceratops,Herbivorous,Late Cretaceous 80-75 million years ago,USA,Ceratopsian,2.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),Lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Avaceratops.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Avimimus,Omnivorous,Late Cretaceous 80-75 million years ago,Mongolia,Small Theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),Portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/avim.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Bactrosaurus,Herbivorous,Late Cretaceous 84-71 million years ago,China,Euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),Johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bactrosaurus.jpg,中国,35.000074,104.999927,Late Cretaceous
Bagaceratops,Herbivorous,Late Cretaceous 85-80 million years ago,Mongolia,Ceratopsian,1.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),Rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bagaceratops.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Bambiraptor,Carnivorous,Late Cretaceous 84-71 million years ago,USA,Small Theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),Feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bambiraptor.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Barapasaurus,Herbivorous,Early Jurassic 185-170 million years ago,India,Sauropod,14.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Jain Kutty Roy-Chowdhury and Chatterjee (1975),Tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/barapa.jpg,India,22.3511148,78.6677428,Early Jurassic
Barosaurus,Herbivorous,Late Jurassic 155-145 million years ago,USA,Sauropod,24.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),Lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/baro.jpg,United States,39.7837304,-100.445882,Late Jurassic
Baryonyx,Carnivorous,Early Cretaceous 125 million years ago,United Kingdom,Large Theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Charig and Milner (1987),Walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/bary.jpg,United Kingdom,54.7023545,-3.2765753,Early Cretaceous
Becklespinax,Carnivorous,Early Cretaceous 142-132 million years ago,United Kingdom,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Paul (1988),Altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Becklespinax.jpg,United Kingdom,54.7023545,-3.2765753,Early Cretaceous
Beipiaosaurus,Omnivorous,Early Cretaceous 127-121 million years ago,China,Small Theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),Inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Beipiaosaurus.jpg,中国,35.000074,104.999927,Early Cretaceous
Bellusaurus,Herbivorous,Mid Jurassic 180-159 million years ago,China,Sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Dong and Azuma (1990),Sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bellusaurus.jpg,中国,35.000074,104.999927,Mid Jurassic
Borogovia,Carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,Small Theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),Gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Borogovia.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Brachiosaurus,Herbivorous,Late Jurassic 155-140 million years ago,USA,Sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),Altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/brach.jpg,United States,39.7837304,-100.445882,Late Jurassic
Brachylophosaurus,Herbivorous,Late Cretaceous 89-88 million years ago,USA,Euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),Canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Brachylophosaurus.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Brachytrachelopan,Herbivorous,Mid Jurassic 150 million years ago,Argentina,Sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Rauhut Remes Fechner Cladera and Puerta (2005),Mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Brachytrachelopan.jpg,Argentina,-34.9964963,-64.9672817,Mid Jurassic
Buitreraptor,Carnivorous,Late Cretaceous 99-90 million years ago,Argentina,Small Theropod,1.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),Gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Buitreraptor.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Camarasaurus,Herbivorous,Late Jurassic 150-140 million years ago,USA,Sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Cope (1877),Supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/camara.jpg,United States,39.7837304,-100.445882,Late Jurassic
Camptosaurus,Herbivorous,Late Jurassic 155-145 million years ago,USA,Euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),Dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/campto.jpg,United States,39.7837304,-100.445882,Late Jurassic
Carcharodontosaurus,Carnivorous,Late Cretaceous 98-94 million years ago,North Africa,Large Theropod,15.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),Saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/carcharodontosaurus.jpg,"Nord d'Àfrica, Carrer de Can Valero, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.36259895,2.1596649904253766,Late Cretaceous
