name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Sinornithosaurus,Carnivorous,Early Cretaceous 122-120 million years ago,China,Small Theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),Millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinornithosaurus.jpg,中国,35.000074,104.999927,Early Cretaceous
Sinosauropteryx,Carnivorous,Early Cretaceous 122-120 million years ago,China,Small Theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Ji and Ji (1996),Prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sinosauropteryx-ml.jpg,中国,35.000074,104.999927,Early Cretaceous
Sinovenator,Carnivorous,Early Cretaceous 127-121 million years ago,China,Small Theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),Changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinvenator.jpg,中国,35.000074,104.999927,Early Cretaceous
Sinraptor,Carnivorous,Mid Jurassic 169-142 million years ago,China,Large Theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Gao (1992),Hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sinraptor.jpg,中国,35.000074,104.999927,Mid Jurassic
Sonidosaurus,Herbivorous,Late Cretaceous 89-65 million years ago,China,Sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),Saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sonidosaurus.jpg,中国,35.000074,104.999927,Late Cretaceous
Spinosaurus,Carnivorous,Late Cretaceous 95-70 million years ago,Morocco,Large Theropod,18.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Stromer (1915),Aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/spinosaurus.jpg,"Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",28.3347722,-10.371337908392649,Late Cretaceous
Staurikosaurus,Carnivorous,Late Triassic 227-221 million years ago,Brazil,Large Theropod,2.0,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),Pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Staurikosaurus.jpg,Brasil,-10.3333333,-53.2,Late Triassic
Stegoceras,Herbivorous,Late Cretaceous 76-74 million years ago,USA,Euornithopod,2.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Lambe (1902),Validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stegoceras.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Stegosaurus,Herbivorous,Late Jurassic 155-145 million years ago,USA,Armoured Dinosaur,9.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Marsh (1877),Armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stego.jpg,United States,39.7837304,-100.445882,Late Jurassic
Stenopelix,Herbivorous,Early Cretaceous 127-121 million years ago,Germany,Ceratopsian,1.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Meyer (1857),Valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Stenopelix.jpg,Deutschland,51.1638175,10.4478313,Early Cretaceous
Struthiomimus,Omnivorous,Late Cretaceous 76-74 million years ago,Canada,Small Theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),Altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/struthio.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Struthiosaurus,Herbivorous,Late Cretaceous 83-75 million years ago,Spain,Armoured Dinosaur,2.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),Austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Struthiosaurus.jpg,España,39.3260685,-4.8379791,Late Cretaceous
Styracosaurus,Herbivorous,Late Cretaceous 76-70 million years ago,USA,Ceratopsian,5.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),Albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/styrac.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Suchomimus,Carnivorous,Early Cretaceous 121-112 million years ago,Niger,Large Theropod,11.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),Tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Suchomimus.jpg,Niger,17.7356214,9.3238432,Early Cretaceous
Supersaurus,Herbivorous,Early Cretaceous 154-142 million years ago,USA,Sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Jansen (1985),Vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Supersaurus.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Talarurus,Herbivorous,Late Cretaceous 99-89 million years ago,Mongolia,Armoured Dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),Plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Talarurus.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Tarbosaurus,Carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,Large Theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),Bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tarbo.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Tarchia,Herbivorous,Late Cretaceous 75-68 million years ago,Mongolia,Armoured Dinosaur,8.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Maleev (1956),Gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tarchia-ml.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Telmatosaurus,Herbivorous,Late Cretaceous 84-65 million years ago,Spain,Euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),Transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Telmatosaurus.jpg,España,39.3260685,-4.8379791,Late Cretaceous
